,Electrical Consumption [kW]
2023-01-01 00:00:00,97.06124608490342
2023-01-01 01:00:00,69.91980986081005
2023-01-01 02:00:00,55.9770937130958
2023-01-01 03:00:00,51.07476320525732
2023-01-01 04:00:00,48.10953259587799
2023-01-01 05:00:00,47.976245848012084
2023-01-01 06:00:00,50.886688945823266
2023-01-01 07:00:00,62.10950697156506
2023-01-01 08:00:00,110.00081059191433
2023-01-01 09:00:00,172.10137358407198
2023-01-01 10:00:00,216.43992189842882
2023-01-01 11:00:00,252.01051765361458
2023-01-01 12:00:00,256.8994402693016
2023-01-01 13:00:00,215.05428230100094
2023-01-01 14:00:00,169.20113552403834
2023-01-01 15:00:00,144.9470561545783
2023-01-01 16:00:00,132.64923622281452
2023-01-01 17:00:00,156.2807303301012
2023-01-01 18:00:00,194.47486141927527
2023-01-01 19:00:00,219.20747881847413
2023-01-01 20:00:00,199.1138962585348
2023-01-01 21:00:00,168.55921978038958
2023-01-01 22:00:00,142.72630020564708
2023-01-01 23:00:00,105.27311979892245
2023-01-02 00:00:00,72.5292759827626
2023-01-02 01:00:00,53.67599433726122
2023-01-02 02:00:00,49.20106102191157
2023-01-02 03:00:00,47.91040286503781
2023-01-02 04:00:00,48.68492659427998
2023-01-02 05:00:00,58.28146902540875
2023-01-02 06:00:00,112.10338425477883
2023-01-02 07:00:00,161.06601750574157
2023-01-02 08:00:00,166.14133816530475
2023-01-02 09:00:00,153.35760757874357
2023-01-02 10:00:00,144.64235517469757
2023-01-02 11:00:00,147.27801666779666
2023-01-02 12:00:00,162.71072652374534
2023-01-02 13:00:00,161.2145158161026
2023-01-02 14:00:00,143.60822747120716
2023-01-02 15:00:00,130.50682829410806
2023-01-02 16:00:00,131.0007084737662
2023-01-02 17:00:00,160.22172284817094
2023-01-02 18:00:00,206.95497661516572
2023-01-02 19:00:00,232.98333368989688
2023-01-02 20:00:00,209.53335043631535
2023-01-02 21:00:00,175.5809799385019
2023-01-02 22:00:00,145.32369897915441
2023-01-02 23:00:00,107.61358180879635
2023-01-03 00:00:00,72.63953654709516
2023-01-03 01:00:00,53.757336232254104
2023-01-03 02:00:00,49.275387488834404
2023-01-03 03:00:00,47.982554044294496
2023-01-03 04:00:00,48.75801411733314
2023-01-03 05:00:00,58.368681676149684
2023-01-03 06:00:00,112.27060093840419
2023-01-03 07:00:00,161.3055433397247
2023-01-03 08:00:00,166.3876444125323
2023-01-03 09:00:00,153.58424648394694
2023-01-03 10:00:00,144.85543360698935
2023-01-03 11:00:00,147.4942851066465
2023-01-03 12:00:00,162.94889479068362
2023-01-03 13:00:00,161.44975352492938
2023-01-03 14:00:00,143.81710525404853
2023-01-03 15:00:00,130.69604003601128
2023-01-03 16:00:00,131.1900181920887
2023-01-03 17:00:00,160.4525042057966
2023-01-03 18:00:00,207.25211415033544
2023-01-03 19:00:00,233.3167762294481
2023-01-03 20:00:00,209.8322749645879
2023-01-03 21:00:00,175.83064949423934
2023-01-03 22:00:00,145.52967524228782
2023-01-03 23:00:00,107.76561497606706
2023-01-04 00:00:00,72.74182450025165
2023-01-04 01:00:00,53.832781798755136
2023-01-04 02:00:00,49.34431272661517
2023-01-04 03:00:00,48.049449080202706
2023-01-04 04:00:00,48.8257639934927
2023-01-04 05:00:00,58.44950879261626
2023-01-04 06:00:00,112.42554323015747
2023-01-04 07:00:00,161.52744471113806
2023-01-04 08:00:00,166.6157824075545
2023-01-04 09:00:00,153.79412588159948
2023-01-04 10:00:00,145.05271523676183
2023-01-04 11:00:00,147.6944793465571
2023-01-04 12:00:00,163.16931600482226
2023-01-04 13:00:00,161.66741855032873
2023-01-04 14:00:00,144.01033957853133
2023-01-04 15:00:00,130.8710446851868
2023-01-04 16:00:00,131.36507638583515
2023-01-04 17:00:00,160.6658665077416
2023-01-04 18:00:00,207.52676633013897
2023-01-04 19:00:00,233.62492156553893
2023-01-04 20:00:00,210.10846293016718
2023-01-04 21:00:00,176.06127903285503
2023-01-04 22:00:00,145.71990269453116
2023-01-04 23:00:00,107.90599346904548
2023-01-05 00:00:00,72.83625057188296
2023-01-05 01:00:00,53.90241296060676
2023-01-05 02:00:00,49.40791180852225
2023-01-05 03:00:00,48.11116105679778
2023-01-05 04:00:00,48.888250467992634
2023-01-05 05:00:00,58.524039230090565
2023-01-05 06:00:00,112.56838199442528
2023-01-05 07:00:00,161.73196704774287
2023-01-05 08:00:00,166.82600524413473
2023-01-05 09:00:00,153.98747932814265
2023-01-05 10:00:00,145.2344202875507
2023-01-05 11:00:00,147.87882356292045
2023-01-05 12:00:00,163.3722377648974
2023-01-05 13:00:00,161.86775614899673
2023-01-05 14:00:00,144.18814885780486
2023-01-05 15:00:00,131.03204067517783
2023-01-05 16:00:00,131.52608218504463
2023-01-05 17:00:00,160.8620532354198
2023-01-05 18:00:00,207.77924756996313
2023-01-05 19:00:00,233.90812356319097
2023-01-05 20:00:00,210.36223249699648
2023-01-05 21:00:00,176.2731350916264
2023-01-05 22:00:00,145.8946018828253
2023-01-05 23:00:00,108.03488056133207
2023-01-06 00:00:00,72.92292494274379
2023-01-06 01:00:00,53.96631123546264
2023-01-06 02:00:00,49.4662594355235
2023-01-06 03:00:00,48.16776269560449
2023-01-06 04:00:00,48.945547417720014
2023-01-06 05:00:00,58.59236140293037
2023-01-06 06:00:00,112.69928724753967
2023-01-06 07:00:00,161.919354558922
2023-01-06 08:00:00,167.0185647593458
2023-01-06 09:00:00,154.1645392200972
2023-01-06 10:00:00,145.40076788895885
2023-01-06 11:00:00,148.0475408173334
2023-01-06 12:00:00,163.55790643921782
2023-01-06 13:00:00,162.05101035859224
2023-01-06 14:00:00,144.35075041918142
2023-01-06 15:00:00,131.1792254528135
2023-01-06 16:00:00,131.673233729371
2023-01-06 17:00:00,161.04130665902088
2023-01-06 18:00:00,208.00987072077956
2023-01-06 19:00:00,234.16673432636438
2023-01-06 20:00:00,210.59390024530626
2023-01-06 21:00:00,176.46648288082196
2023-01-06 22:00:00,146.05399225584807
2023-01-06 23:00:00,108.15243871330233
2023-01-07 00:00:00,83.93166534345114
2023-01-07 01:00:00,66.1941331957994
2023-01-07 02:00:00,52.71220067287754
2023-01-07 03:00:00,49.70935145649961
2023-01-07 04:00:00,48.158758144068145
2023-01-07 05:00:00,50.18942492936907
2023-01-07 06:00:00,66.49632260660866
2023-01-07 07:00:00,102.62903689146975
2023-01-07 08:00:00,149.92345690229
2023-01-07 09:00:00,177.50827567797705
2023-01-07 10:00:00,185.20587104422475
2023-01-07 11:00:00,194.13159592971678
2023-01-07 12:00:00,208.68214232933673
2023-01-07 13:00:00,207.688436269886
2023-01-07 14:00:00,192.22605638687966
2023-01-07 15:00:00,180.14483324131058
2023-01-07 16:00:00,181.30472080322303
2023-01-07 17:00:00,226.12641407229862
2023-01-07 18:00:00,262.36901611495864
2023-01-07 19:00:00,263.2689187279226
2023-01-07 20:00:00,215.46483858987793
2023-01-07 21:00:00,168.0206513624548
2023-01-07 22:00:00,153.50389598198655
2023-01-07 23:00:00,130.21389796329763
2023-01-08 00:00:00,97.94928730814966
2023-01-08 01:00:00,70.55728446080268
2023-01-08 02:00:00,56.48562655455339
2023-01-08 03:00:00,51.53711897826074
2023-01-08 04:00:00,48.54350067612313
2023-01-08 05:00:00,48.40746947842651
2023-01-08 06:00:00,51.342438522956265
2023-01-08 07:00:00,62.663741932866934
2023-01-08 08:00:00,110.97883078808529
2023-01-08 09:00:00,173.6261741412923
2023-01-08 10:00:00,218.35073336306704
2023-01-08 11:00:00,254.2273759504755
2023-01-08 12:00:00,259.1512588408655
2023-01-08 13:00:00,216.9325691824621
2023-01-08 14:00:00,170.67354300379677
2023-01-08 15:00:00,146.20377265728578
2023-01-08 16:00:00,133.79508707051758
2023-01-08 17:00:00,157.62564980900615
2023-01-08 18:00:00,196.1423708844222
2023-01-08 19:00:00,221.08018017660658
2023-01-08 20:00:00,200.80877241368782
2023-01-08 21:00:00,169.98864438626046
2023-01-08 22:00:00,143.93219512374088
2023-01-08 23:00:00,106.15928350888946
2023-01-09 00:00:00,73.13753142480762
2023-01-09 01:00:00,54.12441782176009
2023-01-09 02:00:00,49.610535012262815
2023-01-09 03:00:00,48.30762736288338
2023-01-09 04:00:00,49.087034361934194
2023-01-09 05:00:00,58.760955863355754
2023-01-09 06:00:00,113.02208938246561
2023-01-09 07:00:00,162.3811319580618
2023-01-09 08:00:00,167.4927628971288
2023-01-09 09:00:00,154.60026413482257
2023-01-09 10:00:00,145.80984088393456
2023-01-09 11:00:00,148.46214471791103
2023-01-09 12:00:00,164.01383917432804
2023-01-09 13:00:00,162.50069474397574
2023-01-09 14:00:00,144.7494657814905
2023-01-09 15:00:00,131.53987217916975
2023-01-09 16:00:00,132.03352937381007
2023-01-09 17:00:00,161.47987163889925
2023-01-09 18:00:00,208.57369668266912
2023-01-09 19:00:00,234.79851383269116
2023-01-09 20:00:00,211.15943462573162
2023-01-09 21:00:00,176.9381088285032
2023-01-09 22:00:00,146.44248849612205
2023-01-09 23:00:00,108.43875193269841
2023-01-10 00:00:00,73.19428982220995
2023-01-10 01:00:00,54.16619160139316
2023-01-10 02:00:00,49.64861638330867
2023-01-10 03:00:00,48.344507615572724
2023-01-10 04:00:00,49.12430461450424
2023-01-10 05:00:00,58.80532030274893
2023-01-10 06:00:00,113.10694379319729
2023-01-10 07:00:00,162.50239789380367
2023-01-10 08:00:00,167.61716236377418
2023-01-10 09:00:00,154.71445057521166
2023-01-10 10:00:00,145.9169281051912
2023-01-10 11:00:00,148.57056246458777
2023-01-10 12:00:00,164.1329345801701
2023-01-10 13:00:00,162.61803139312764
2023-01-10 14:00:00,144.85338802765395
2023-01-10 15:00:00,131.63376684139473
2023-01-10 16:00:00,132.1272254874363
2023-01-10 17:00:00,161.59379032360974
2023-01-10 18:00:00,208.71998469886483
2023-01-10 19:00:00,234.96224547632087
2023-01-10 20:00:00,211.3058292280125
2023-01-10 21:00:00,177.0600491019001
2023-01-10 22:00:00,146.5428161295779
2023-01-10 23:00:00,108.51260266266229
2023-01-11 00:00:00,73.24383918917263
2023-01-11 01:00:00,54.20263398946648
2023-01-11 02:00:00,49.681814219780016
2023-01-11 03:00:00,48.37663570043887
2023-01-11 04:00:00,49.15674920153371
2023-01-11 05:00:00,58.84391193543171
2023-01-11 06:00:00,113.18070205361867
2023-01-11 07:00:00,162.60773177536163
2023-01-11 08:00:00,167.72513884405205
2023-01-11 09:00:00,154.8134880448022
2023-01-11 10:00:00,146.00973711608856
2023-01-11 11:00:00,148.66445185037102
2023-01-11 12:00:00,164.23599028539093
2023-01-11 13:00:00,162.7194865559446
2023-01-11 14:00:00,144.94317290492137
2023-01-11 15:00:00,131.7148227246994
2023-01-11 16:00:00,132.20804318866902
2023-01-11 17:00:00,161.69196888683206
2023-01-11 18:00:00,208.8459554146815
2023-01-11 19:00:00,235.10311998934992
2023-01-11 20:00:00,211.4316811572345
2023-01-11 21:00:00,177.16478725192857
2023-01-11 22:00:00,146.6289157172065
2023-01-11 23:00:00,108.57592455581502
2023-01-12 00:00:00,73.28628641307333
2023-01-12 01:00:00,54.23382406650077
2023-01-12 02:00:00,49.71020098884155
2023-01-12 03:00:00,48.40408216394311
2023-01-12 04:00:00,49.184439789828296
2023-01-12 05:00:00,58.87681653021597
2023-01-12 06:00:00,113.24352909173494
2023-01-12 07:00:00,162.69737050184955
2023-01-12 08:00:00,167.8169366348903
2023-01-12 09:00:00,154.89760198058954
2023-01-12 10:00:00,146.08848048263238
2023-01-12 11:00:00,148.74402925408666
2023-01-12 12:00:00,164.32324527573513
2023-01-12 13:00:00,162.80529695586273
2023-01-12 14:00:00,145.0190312255809
2023-01-12 15:00:00,131.78323135562843
2023-01-12 16:00:00,132.27617467485035
2023-01-12 17:00:00,161.77464233141202
2023-01-12 18:00:00,208.95191229459897
2023-01-12 19:00:00,235.22147890936927
2023-01-12 20:00:00,211.5372974913513
2023-01-12 21:00:00,177.25258052680317
2023-01-12 22:00:00,146.70100011810746
2023-01-12 23:00:00,108.62887519318313
2023-01-13 00:00:00,73.32173783239348
2023-01-13 01:00:00,54.25984050682796
2023-01-13 02:00:00,49.733848785357424
2023-01-13 03:00:00,48.42691719003617
2023-01-13 04:00:00,49.20744767784682
2023-01-13 05:00:00,58.904119414989225
2023-01-13 06:00:00,113.29558898749686
2023-01-13 07:00:00,162.7715497540029
2023-01-13 08:00:00,167.8927987765262
2023-01-13 09:00:00,154.9670166596482
2023-01-13 10:00:00,146.15336967689547
2023-01-13 11:00:00,148.8095099407655
2023-01-13 12:00:00,164.39493730652
2023-01-13 13:00:00,162.8756980972811
2023-01-13 14:00:00,145.0811727160835
2023-01-13 15:00:00,131.8391832740126
2023-01-13 16:00:00,132.33181115293698
2023-01-13 17:00:00,161.84204444897148
2023-01-13 18:00:00,209.03815723868178
2023-01-13 19:00:00,235.31766201290847
2023-01-13 20:00:00,211.62298372460396
2023-01-13 21:00:00,177.32368484772942
2023-01-13 22:00:00,146.75928109311764
2023-01-13 23:00:00,108.67161134256826
2023-01-14 00:00:00,84.33211219303604
2023-01-14 01:00:00,66.50807324114835
2023-01-14 02:00:00,52.96065643708284
2023-01-14 03:00:00,49.94221806687628
2023-01-14 04:00:00,48.38297505869981
2023-01-14 05:00:00,50.4216390359203
2023-01-14 06:00:00,66.80203733305012
2023-01-14 07:00:00,103.09792112138877
2023-01-14 08:00:00,150.6041700344673
2023-01-14 09:00:00,178.30924581174912
2023-01-14 10:00:00,186.03629237872138
2023-01-14 11:00:00,194.99647738903437
2023-01-14 12:00:00,209.60589143247142
2023-01-14 13:00:00,208.60191760015155
2023-01-14 14:00:00,193.06605450428776
2023-01-14 15:00:00,180.9268922677243
2023-01-14 16:00:00,182.08659504140593
2023-01-14 17:00:00,227.09506139308365
2023-01-14 18:00:00,263.4855855746562
2023-01-14 19:00:00,264.3818982255778
2023-01-14 20:00:00,216.36973413304548
2023-01-14 21:00:00,168.7214574233091
2023-01-14 22:00:00,154.1397845908006
2023-01-14 23:00:00,130.74966630190843
2023-01-15 00:00:00,98.34954345156044
2023-01-15 01:00:00,70.84361229546289
2023-01-15 02:00:00,56.713228369013706
2023-01-15 03:00:00,51.74332119536025
2023-01-15 04:00:00,48.736350683598175
2023-01-15 05:00:00,48.598406848698914
2023-01-15 06:00:00,51.54349862575825
2023-01-15 07:00:00,62.90733233640392
2023-01-15 08:00:00,111.40705482230291
2023-01-15 09:00:00,174.2913624776409
2023-01-15 10:00:00,219.181195733627
2023-01-15 11:00:00,255.1871850482384
2023-01-15 12:00:00,260.12249739930036
2023-01-15 13:00:00,217.73958092185265
2023-01-15 14:00:00,171.3036630870948
2023-01-15 15:00:00,146.73943161707768
2023-01-15 16:00:00,134.2815087084611
2023-01-15 17:00:00,158.19420157949236
2023-01-15 18:00:00,196.84442204237286
2023-01-15 19:00:00,221.86537161399949
2023-01-15 20:00:00,201.51648119440685
2023-01-15 21:00:00,170.5829571711865
2023-01-15 22:00:00,144.43144012094234
2023-01-15 23:00:00,106.52458148310153
2023-01-16 00:00:00,73.38717241424274
2023-01-16 01:00:00,54.30762865805388
2023-01-16 02:00:00,49.77707370376466
2023-01-16 03:00:00,48.468450045696905
2023-01-16 04:00:00,49.249082599630775
2023-01-16 05:00:00,58.953264474253906
2023-01-16 06:00:00,113.38879389934623
2023-01-16 07:00:00,162.90366919613913
2023-01-16 08:00:00,168.02718285823
2023-01-16 09:00:00,155.08929052838332
2023-01-16 10:00:00,146.26701053773667
2023-01-16 11:00:00,148.92350764196098
2023-01-16 12:00:00,164.51899473828078
2023-01-16 13:00:00,162.9967827289703
2023-01-16 14:00:00,145.18737718359912
2023-01-16 15:00:00,131.9341893514919
2023-01-16 16:00:00,132.42564775241684
2023-01-16 17:00:00,161.9549425873847
2023-01-16 18:00:00,209.18161599033868
2023-01-16 19:00:00,235.4765277740179
2023-01-16 20:00:00,211.7634930058944
2023-01-16 21:00:00,177.4394033937386
2023-01-16 22:00:00,146.85340459722474
2023-01-16 23:00:00,108.74008834246959
2023-01-17 00:00:00,73.39569302213185
2023-01-17 01:00:00,54.3137291710955
2023-01-17 02:00:00,49.78247911272885
2023-01-17 03:00:00,48.473533911440974
2023-01-17 04:00:00,49.25406530419533
2023-01-17 05:00:00,58.95900497937242
2023-01-17 06:00:00,113.3994090641082
2023-01-17 07:00:00,162.91834299074668
2023-01-17 08:00:00,168.0417076716127
2023-01-17 09:00:00,155.10212775285416
2023-01-17 10:00:00,146.2785758849487
2023-01-17 11:00:00,148.9347318348968
2023-01-17 12:00:00,164.53078787545368
2023-01-17 13:00:00,163.00787749963683
2023-01-17 14:00:00,145.19672690123681
2023-01-17 15:00:00,131.9422000837223
2023-01-17 16:00:00,132.4331964599862
2023-01-17 17:00:00,161.9635730886002
2023-01-17 18:00:00,209.1920009034228
2023-01-17 19:00:00,235.48737015570168
2023-01-17 20:00:00,211.77248210384406
2023-01-17 21:00:00,177.44628457074708
2023-01-17 22:00:00,146.85856751177806
2023-01-17 23:00:00,108.74351795344242
2023-01-18 00:00:00,73.3977412844051
2023-01-18 01:00:00,54.315043326257346
2023-01-18 02:00:00,49.783500438960225
2023-01-18 03:00:00,48.474351821868815
