Datetime,BTN A - Wh,BTN B - Wh,BTN C - Wh
01/01/2023 00:00,83.6239,112.616,138.6887
01/01/2023 01:00,77.7208,102.8468,119.4602
01/01/2023 02:00,73.2191,94.7121,103.2586
01/01/2023 03:00,70.8372,88.6589,91.9449
01/01/2023 04:00,70.3928,85.6733,85.3589
01/01/2023 05:00,71.185,85.3865,82.9239
01/01/2023 06:00,73.4516,86.6569,82.6161
01/01/2023 07:00,78.2584,90.7888,88.3161
01/01/2023 08:00,83.9404,99.6322,104.2404
01/01/2023 09:00,92.9326,115.5321,131.8163
01/01/2023 10:00,101.9515,130.0246,157.949
01/01/2023 11:00,108.0247,139.6342,179.0376
01/01/2023 12:00,109.8916,143.1257,189.3707
01/01/2023 13:00,106.138,137.6076,172.7777
01/01/2023 14:00,102.3142,131.5506,156.9869
01/01/2023 15:00,98.415,126.9707,150.8592
01/01/2023 16:00,96.512,127.0553,155.0309
01/01/2023 17:00,100.4613,133.0221,173.3654
01/01/2023 18:00,105.1852,141.3836,197.7891
01/01/2023 19:00,106.5664,146.6242,211.7739
01/01/2023 20:00,104.891,146.8356,212.6198
01/01/2023 21:00,100.371,141.3245,200.8437
01/01/2023 22:00,93.8597,131.9821,180.4784
01/01/2023 23:00,85.8368,119.2886,152.9809
02/01/2023 00:00,82.3721,108.5215,123.3138
02/01/2023 01:00,77.4471,97.478,100.9178
02/01/2023 02:00,74.2148,89.6081,88.5438
02/01/2023 03:00,72.9606,85.7687,82.3809
02/01/2023 04:00,73.9124,85.0267,80.0277
02/01/2023 05:00,76.8083,88.1072,81.5808
02/01/2023 06:00,85.3551,97.3962,91.4916
02/01/2023 07:00,104.9813,118.0368,113.7179
02/01/2023 08:00,139.0588,134.933,131.7883
02/01/2023 09:00,167.1317,149.7472,143.1897
02/01/2023 10:00,178.391,156.164,148.708
02/01/2023 11:00,184.3883,158.5532,153.8719
02/01/2023 12:00,176.7043,161.8529,159.9418
02/01/2023 13:00,167.3207,157.4085,154.5
02/01/2023 14:00,172.1406,154.4282,150.0117
02/01/2023 15:00,168.1954,148.6767,146.8143
02/01/2023 16:00,164.2002,148.3622,151.1095
02/01/2023 17:00,161.5865,156.6507,172.8671
02/01/2023 18:00,153.2438,168.176,205.1143
02/01/2023 19:00,142.3309,172.961,227.1175
02/01/2023 20:00,131.2835,167.4371,227.8662
02/01/2023 21:00,121.0608,158.1521,212.3239
02/01/2023 22:00,109.7877,146.7292,190.0396
02/01/2023 23:00,96.2035,129.1505,158.2462
03/01/2023 00:00,83.7297,109.822,123.8913
03/01/2023 01:00,77.5385,97.595,101.2839
03/01/2023 02:00,74.3112,89.725,88.8061
03/01/2023 03:00,73.0703,85.8545,82.6079
03/01/2023 04:00,74.0205,85.1278,80.1848
03/01/2023 05:00,76.9394,88.2597,81.812
03/01/2023 06:00,85.4706,97.6373,91.7703
03/01/2023 07:00,105.1154,118.3216,114.2045
03/01/2023 08:00,139.3721,135.2081,132.1663
03/01/2023 09:00,167.5411,149.9398,143.4215
03/01/2023 10:00,178.7962,156.4463,148.9747
03/01/2023 11:00,184.7293,158.9151,154.1549
03/01/2023 12:00,176.9777,162.0659,160.1765
03/01/2023 13:00,167.5389,157.6654,154.8674
03/01/2023 14:00,172.286,154.6737,150.3215
03/01/2023 15:00,168.3178,148.8562,147.1099
03/01/2023 16:00,164.3491,148.4848,151.3917
03/01/2023 17:00,161.5863,156.7465,173.1151
03/01/2023 18:00,153.3548,168.485,206.0665
03/01/2023 19:00,142.3507,173.3809,228.5931
03/01/2023 20:00,131.312,167.737,229.4214
03/01/2023 21:00,121.0465,158.4326,213.7468
03/01/2023 22:00,109.7251,146.9828,190.8992
03/01/2023 23:00,96.6208,129.869,159.4665
04/01/2023 00:00,87.4128,115.4155,130.9811
04/01/2023 01:00,80.2675,102.8894,107.7911
04/01/2023 02:00,75.7556,92.828,94.1908
04/01/2023 03:00,73.6306,88.0506,87.1308
04/01/2023 04:00,73.7982,86.7057,83.6248
04/01/2023 05:00,76.2257,89.0156,83.6791
04/01/2023 06:00,82.1977,95.1947,86.7829
04/01/2023 07:00,92.0407,107.3828,96.5126
04/01/2023 08:00,105.2225,124.4593,119.8586
04/01/2023 09:00,122.4021,143.9345,149.5091
04/01/2023 10:00,133.8939,153.8159,161.9701
04/01/2023 11:00,139.6505,156.9452,169.2343
04/01/2023 12:00,139.6444,161.0977,178.3038
04/01/2023 13:00,132.0969,157.0147,172.9212
04/01/2023 14:00,127.4485,152.4381,166.0401
04/01/2023 15:00,122.5016,146.89,162.2014
04/01/2023 16:00,119.4648,146.0813,165.6874
04/01/2023 17:00,123.7156,154.0467,186.5546
04/01/2023 18:00,130.3176,164.5089,214.9151
04/01/2023 19:00,130.1654,168.2743,227.5597
04/01/2023 20:00,124.6087,161.6299,222.0703
04/01/2023 21:00,116.8435,154.1476,203.4119
04/01/2023 22:00,107.3839,143.3532,184.4745
04/01/2023 23:00,95.6292,129.574,161.3193
