,Power [W]
2023-01-01 00:00:00,108.40613631206709
2023-01-01 01:00:00,109.556766491073
2023-01-01 02:00:00,104.1894806837559
2023-01-01 03:00:00,106.6399960157965
2023-01-01 04:00:00,105.96393310713691
2023-01-01 05:00:00,436.2591370499007
2023-01-01 06:00:00,2135.455823720122
2023-01-01 07:00:00,3033.3835215576587
2023-01-01 08:00:00,1336.5132071613034
2023-01-01 09:00:00,2011.8233846765788
2023-01-01 10:00:00,1688.1597978800087
2023-01-01 11:00:00,1849.4758887678584
2023-01-01 12:00:00,1608.7758775730188
2023-01-01 13:00:00,1919.3826854157323
2023-01-01 14:00:00,1193.49735532912
2023-01-01 15:00:00,1231.4898468930037
2023-01-01 16:00:00,1039.546850112271
2023-01-01 17:00:00,842.6156451573044
2023-01-01 18:00:00,1811.1824059442577
2023-01-01 19:00:00,1418.1508467316578
2023-01-01 20:00:00,894.8997562472296
2023-01-01 21:00:00,692.434270231641
2023-01-01 22:00:00,370.3935601076371
2023-01-01 23:00:00,108.4118207714814
2023-01-02 00:00:00,116.5765285557601
2023-01-02 01:00:00,108.89215746251949
2023-01-02 02:00:00,103.278967831442
2023-01-02 03:00:00,95.3602442564607
2023-01-02 04:00:00,366.0161176472032
2023-01-02 05:00:00,690.2493257811872
2023-01-02 06:00:00,2114.112653478842
2023-01-02 07:00:00,2840.1191613770607
2023-01-02 08:00:00,2824.18573895252
2023-01-02 09:00:00,2311.541681575686
2023-01-02 10:00:00,677.893336392251
2023-01-02 11:00:00,1040.209683468967
2023-01-02 12:00:00,2460.3318117998365
2023-01-02 13:00:00,2012.6287813120962
2023-01-02 14:00:00,746.3475525556357
2023-01-02 15:00:00,1016.028664596778
2023-01-02 16:00:00,987.6921308123015
2023-01-02 17:00:00,1008.3955098868691
2023-01-02 18:00:00,1663.684898358741
2023-01-02 19:00:00,1950.423308118873
2023-01-02 20:00:00,1123.0051290859635
2023-01-02 21:00:00,854.4636219482393
2023-01-02 22:00:00,359.2257058474484
2023-01-02 23:00:00,107.0519186939458
2023-01-03 00:00:00,112.1519399683518
2023-01-03 01:00:00,105.81629434186631
