,P_el
2023-01-01 00:00:00,1337.402
2023-01-01 01:00:00,999.502
2023-01-01 02:00:00,985.095
2023-01-01 03:00:00,924.135
2023-01-01 04:00:00,931.616
2023-01-01 05:00:00,1101.091
2023-01-01 06:00:00,908.7239999999999
2023-01-01 07:00:00,2183.367
2023-01-01 08:00:00,2383.101
2023-01-01 09:00:00,3201.404
2023-01-01 10:00:00,2537.57
2023-01-01 11:00:00,2105.658
2023-01-01 12:00:00,1800.15
2023-01-01 13:00:00,5077.4400000000005
2023-01-01 14:00:00,2317.276
2023-01-01 15:00:00,2777.6639999999998
2023-01-01 16:00:00,1762.134
2023-01-01 17:00:00,3263.238
2023-01-01 18:00:00,1998.217
2023-01-01 19:00:00,4140.876
2023-01-01 20:00:00,2067.639
2023-01-01 21:00:00,1887.827
2023-01-01 22:00:00,1846.346
2023-01-01 23:00:00,2105.059
2023-01-02 00:00:00,1341.18
2023-01-02 01:00:00,901.0649999999999
2023-01-02 02:00:00,860.898
2023-01-02 03:00:00,928.404
2023-01-02 04:00:00,1136.331
2023-01-02 05:00:00,983.764
2023-01-02 06:00:00,2747.486
2023-01-02 07:00:00,1643.887
2023-01-02 08:00:00,4020.569
2023-01-02 09:00:00,1314.432
2023-01-02 10:00:00,1976.1970000000001
2023-01-02 11:00:00,2871.95
2023-01-02 12:00:00,903.053
2023-01-02 13:00:00,978.2339999999999
2023-01-02 14:00:00,1579.865
2023-01-02 15:00:00,1447.886
2023-01-02 16:00:00,2506.6130000000003
2023-01-02 17:00:00,4768.01
2023-01-02 18:00:00,2890.825
2023-01-02 19:00:00,2064.973
2023-01-02 20:00:00,2671.4139999999998
2023-01-02 21:00:00,2941.366
2023-01-02 22:00:00,2101.02
2023-01-02 23:00:00,2312.739
2023-01-03 00:00:00,1744.511
2023-01-03 01:00:00,1521.282
2023-01-03 02:00:00,1263.511
2023-01-03 03:00:00,1099.297
2023-01-03 04:00:00,996.3620000000001
2023-01-03 05:00:00,3070.0950000000003
2023-01-03 06:00:00,2080.243
2023-01-03 07:00:00,1461.269
2023-01-03 08:00:00,1408.834
2023-01-03 09:00:00,1419.3410000000001
2023-01-03 10:00:00,1527.211
2023-01-03 11:00:00,2127.445
2023-01-03 12:00:00,3676.4139999999998
2023-01-03 13:00:00,1324.026
2023-01-03 14:00:00,1005.134
2023-01-03 15:00:00,4315.451999999999
2023-01-03 16:00:00,3262.438
2023-01-03 17:00:00,2516.813
2023-01-03 18:00:00,2265.819
2023-01-03 19:00:00,2840.951
2023-01-03 20:00:00,2869.764
2023-01-03 21:00:00,3589.264
2023-01-03 22:00:00,2246.379
2023-01-03 23:00:00,2280.491
2023-01-04 00:00:00,1559.784
2023-01-04 01:00:00,1344.4189999999999
2023-01-04 02:00:00,1004.836
2023-01-04 03:00:00,959.537
2023-01-04 04:00:00,948.849
2023-01-04 05:00:00,1566.683
2023-01-04 06:00:00,1444.469
2023-01-04 07:00:00,3307.557
2023-01-04 08:00:00,2727.631
2023-01-04 09:00:00,4963.496999999999
2023-01-04 10:00:00,969.106
2023-01-04 11:00:00,1165.658
2023-01-04 12:00:00,2161.033
2023-01-04 13:00:00,2397.876
2023-01-04 14:00:00,3149.821
2023-01-04 15:00:00,1488.7179999999998
2023-01-04 16:00:00,2158.612
2023-01-04 17:00:00,2963.5330000000004
2023-01-04 18:00:00,2413.226
2023-01-04 19:00:00,2980.515
2023-01-04 20:00:00,1959.1370000000002
2023-01-04 21:00:00,1866.573
2023-01-04 22:00:00,1420.173
2023-01-04 23:00:00,1101.267
2023-01-05 00:00:00,894.025
2023-01-05 01:00:00,984.715
2023-01-05 02:00:00,992.518
2023-01-05 03:00:00,1051.085
2023-01-05 04:00:00,998.921
2023-01-05 05:00:00,1055.802
2023-01-05 06:00:00,1639.805
2023-01-05 07:00:00,1545.654
2023-01-05 08:00:00,1266.0529999999999
2023-01-05 09:00:00,909.755
2023-01-05 10:00:00,2446.756
2023-01-05 11:00:00,2058.203
2023-01-05 12:00:00,1845.517
2023-01-05 13:00:00,1202.914
2023-01-05 14:00:00,1266.177
2023-01-05 15:00:00,2173.576
2023-01-05 16:00:00,2136.54
2023-01-05 17:00:00,1880.5079999999998
2023-01-05 18:00:00,2081.654
2023-01-05 19:00:00,1769.116
2023-01-05 20:00:00,2813.0609999999997
2023-01-05 21:00:00,2253.927
2023-01-05 22:00:00,2559.498
2023-01-05 23:00:00,1159.158
2023-01-06 00:00:00,965.028
2023-01-06 01:00:00,985.288
2023-01-06 02:00:00,970.409
2023-01-06 03:00:00,903.981
2023-01-06 04:00:00,836.306
2023-01-06 05:00:00,964.983
2023-01-06 06:00:00,966.013
2023-01-06 07:00:00,967.514
2023-01-06 08:00:00,3086.455
2023-01-06 09:00:00,2747.312
2023-01-06 10:00:00,5298.789
2023-01-06 11:00:00,1838.806
2023-01-06 12:00:00,4808.5509999999995
2023-01-06 13:00:00,2353.877
2023-01-06 14:00:00,3514.091
2023-01-06 15:00:00,2401.959
2023-01-06 16:00:00,4145.303
2023-01-06 17:00:00,2050.151
2023-01-06 18:00:00,2439.148
2023-01-06 19:00:00,7176.755
2023-01-06 20:00:00,4691.656
2023-01-06 21:00:00,7391.883
2023-01-06 22:00:00,4309.503
2023-01-06 23:00:00,1651.043
2023-01-07 00:00:00,877.703
2023-01-07 01:00:00,942.222
2023-01-07 02:00:00,988.894
2023-01-07 03:00:00,981.986
2023-01-07 04:00:00,968.828
2023-01-07 05:00:00,973.072
2023-01-07 06:00:00,1960.269
2023-01-07 07:00:00,1074.091
2023-01-07 08:00:00,1440.667
2023-01-07 09:00:00,2936.3379999999997
2023-01-07 10:00:00,1474.628
2023-01-07 11:00:00,1094.143
2023-01-07 12:00:00,3334.103
2023-01-07 13:00:00,1118.3020000000001
2023-01-07 14:00:00,1416.816
